group_name,category,stall_number,company_code,company_code_id,product_code,product_name,name,packaging,qty_per_carton,inner_box,outer_carton_length_cm,outer_carton_width_cm,outer_carton_height_cm,package_length_cm,package_width_cm,package_height_cm,volume_cbm,chargeable_unit_cn,gross_weight_kg,net_weight_kg,price,price_raw,priceValue,lower_price,higher_price,price/chargeable_unit,excel_row,priceRight,marketTag,tags,image,markdown,id,sku,href
Arts&CraftsToys,Makeup Eye Shadow,290106A,YS1740962,1740962,V6445,Makeup Eye Shadow,Makeup Eye Shadow,Boxed,72,2,53.0,51.0,50.0,23.0,3.5,15.0,0.135,4.77,37.0,36.0,USD $54.60,54.6,54.6,54.6,,11.426,2288,72,2,"1740962, V6445, Boxed",Arts&CraftsToys/Makeup Eye Shadow/290106A/Makeup Eye Shadow/image/Makeup Eye Shadow.jpg,Arts&CraftsToys/Makeup Eye Shadow/290106A/Makeup Eye Shadow/Makeup Eye Shadow.md,1740962-V6445-290106A-2288,V6445,
Arts&CraftsToys,Makeup Eye Shadow,290106A,YS1740956,1740956,V6446,Makeup Eye Shadow,Makeup Eye Shadow,Boxed,72,2,53.0,51.0,50.0,23.0,3.5,15.0,0.135,4.77,36.0,35.0,USD $54.60,54.6,54.6,54.6,,11.426,2287,72,2,"1740956, V6446, Boxed",Arts&CraftsToys/Makeup Eye Shadow/290106A/Makeup Eye Shadow/image/Makeup Eye Shadow.jpg,Arts&CraftsToys/Makeup Eye Shadow/290106A/Makeup Eye Shadow/Makeup Eye Shadow.md,1740956-V6446-290106A-2287,V6446,
Arts&CraftsToys,Makeup Eye Shadow,290106A,YS1716927,1716927,V6399,Makeup Eye Shadow,Makeup Eye Shadow,Boxed,96,2,64.0,50.0,39.0,21.1,2.5,15.5,0.125,4.4,26.0,25.0,USD $31.70,31.7,31.7,31.7,,7.184,1855,96,2,"1716927, V6399, Boxed",Arts&CraftsToys/Makeup Eye Shadow/290106A/Makeup Eye Shadow/image/Makeup Eye Shadow.jpg,Arts&CraftsToys/Makeup Eye Shadow/290106A/Makeup Eye Shadow/Makeup Eye Shadow.md,1716927-V6399-290106A-1855,V6399,
