group_name,category,stall_number,company_code,company_code_id,product_code,product_name,name,packaging,qty_per_carton,inner_box,outer_carton_length_cm,outer_carton_width_cm,outer_carton_height_cm,package_length_cm,package_width_cm,package_height_cm,volume_cbm,chargeable_unit_cn,gross_weight_kg,net_weight_kg,price,price_raw,priceValue,lower_price,higher_price,price/chargeable_unit,excel_row,priceRight,marketTag,tags,image,markdown,id,sku,href
Inflatable&WaterToys,2.4G Stunt Bubble Tank Vehicle,170807,YS1220010,1220010,X-810,2.4G Stunt Bubble Tank Vehicle (battery included),2.4G Stunt Bubble Tank Vehicle (battery included),Color Box,24,0,65.0,53.5,46.5,25.5,10.4,22.5,0.162,5.71,25.5,23.5,USD $152.70,152.7,152.7,152.7,,26.725,556,24,0,"1220010, X-810, Color Box",Inflatable&WaterToys/2.4G Stunt Bubble Tank Vehicle/170807/2.4G Stunt Bubble Tank Vehicle (battery included)/image/2.4G Stunt Bubble Tank Vehicle (battery included).jpg,Inflatable&WaterToys/2.4G Stunt Bubble Tank Vehicle/170807/2.4G Stunt Bubble Tank Vehicle (battery included)/2.4G Stunt Bubble Tank Vehicle (battery included).md,1220010-X-810-170807-556,X-810,
Inflatable&WaterToys,12 Inch Boy With Little Yellow Duck Swim Ring/Basket,121021-121022,YS1717129,1717129,ZY020-1B,12 Inch Boy With Little Yellow Duck Swim Ring/Basket,12 Inch Boy With Little Yellow Duck Swim Ring/Basket,Window Box,18,2,102.0,36.0,75.0,35.0,10.0,35.0,0.275,9.72,17.0,15.0,USD $47.60,47.6,47.6,47.6,,4.889,1857,18,2,"1717129, ZY020-1B, Window Box",Inflatable&WaterToys/12 Inch Boy With Little Yellow Duck Swim RingBasket/121021-121022/12 Inch Boy With Little Yellow Duck Swim RingBasket/image/12 Inch Boy With Little Yellow Duck Swim RingBasket.jpg,Inflatable&WaterToys/12 Inch Boy With Little Yellow Duck Swim RingBasket/121021-121022/12 Inch Boy With Little Yellow Duck Swim RingBasket/12 Inch Boy With Little Yellow Duck Swim RingBasket.md,1717129-ZY020-1B-121021-121022-1857,ZY020-1B,
